% MSC Adams results for 4 bars inverse dynamics experiment.
% See README.md
% timestamp       torque            actual angle
   2.0750000e+00   2.6284790e+01   1.0541570e+02
   2.0800000e+00   2.5587990e+01   1.0483220e+02
   2.0850000e+00   2.4887970e+01   1.0424510e+02
   2.0900000e+00   2.4185120e+01   1.0365450e+02
   2.0950000e+00   2.3479860e+01   1.0306030e+02
   2.1000000e+00   2.2772600e+01   1.0246280e+02
   2.1050000e+00   2.2063770e+01   1.0186190e+02
   2.1100000e+00   2.1353810e+01   1.0125760e+02
   2.1150000e+00   2.0643170e+01   1.0065010e+02
   2.1200000e+00   1.9932290e+01   1.0003950e+02
   2.1250000e+00   1.9221630e+01   9.9425650e+01
   2.1300000e+00   1.8511660e+01   9.8808780e+01
   2.1350000e+00   1.7802830e+01   9.8188900e+01
   2.1400000e+00   1.7095610e+01   9.7566080e+01
   2.1450000e+00   1.6390490e+01   9.6940380e+01
   2.1500000e+00   1.5687940e+01   9.6311860e+01
   2.1550000e+00   1.4988430e+01   9.5680580e+01
   2.1600000e+00   1.4292450e+01   9.5046610e+01
   2.1650000e+00   1.3600480e+01   9.4410010e+01
   2.1700000e+00   1.2912980e+01   9.3770850e+01
   2.1750000e+00   1.2230450e+01   9.3129180e+01
   2.1800000e+00   1.1553350e+01   9.2485080e+01
   2.1850000e+00   1.0882150e+01   9.1838600e+01
   2.1900000e+00   1.0217330e+01   9.1189820e+01
   2.1950000e+00   9.5593400e+00   9.0538790e+01
   2.2000000e+00   8.9086350e+00   8.9885590e+01
   2.2050000e+00   8.2656620e+00   8.9230270e+01
   2.2100000e+00   7.6308570e+00   8.8572900e+01
   2.2150000e+00   7.0046500e+00   8.7913550e+01
   2.2200000e+00   6.3874550e+00   8.7252290e+01
   2.2250000e+00   5.7796760e+00   8.6589180e+01
   2.2300000e+00   5.1817040e+00   8.5924280e+01
   2.2350000e+00   4.5939150e+00   8.5257660e+01
   2.2400000e+00   4.0166680e+00   8.4589400e+01
   2.2450000e+00   3.4503050e+00   8.3919550e+01
   2.2500000e+00   2.8951500e+00   8.3248190e+01
   2.2550000e+00   2.3515070e+00   8.2575370e+01
   2.2600000e+00   1.8196610e+00   8.1901180e+01
   2.2650000e+00   1.2998710e+00   8.1225670e+01
   2.2700000e+00   7.9237660e-01   8.0548910e+01
   2.2750000e+00   2.9738950e-01   7.9870970e+01
   2.2800000e+00  -1.8490280e-01   7.9191920e+01
   2.2850000e+00  -6.5434000e-01   7.8511830e+01
   2.2900000e+00  -1.1107900e+00   7.7830770e+01
   2.2950000e+00  -1.5541510e+00   7.7148790e+01
   2.3000000e+00  -1.9843500e+00   7.6465980e+01
   2.3050000e+00  -2.4013470e+00   7.5782390e+01
   2.3100000e+00  -2.8051340e+00   7.5098100e+01
   2.3150000e+00  -3.1957350e+00   7.4413180e+01
   2.3200000e+00  -3.5732100e+00   7.3727690e+01
   2.3250000e+00  -3.9376540e+00   7.3041700e+01
   2.3300000e+00  -4.2891980e+00   7.2355290e+01
   2.3350000e+00  -4.6280070e+00   7.1668510e+01
   2.3400000e+00  -4.9542860e+00   7.0981450e+01
   2.3450000e+00  -5.2682760e+00   7.0294160e+01
   2.3500000e+00  -5.5702560e+00   6.9606720e+01
   2.3550000e+00  -5.8605430e+00   6.8919190e+01
